"Item ID","Item Code","Product ID",Status,"Has Images","Parent Visible","Current web_vis","Manual Override","Recommended Action"
181,8000-1002,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
186,8000-1004,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
188,8000-2006,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
190,8000-2009,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
191,8000-2011,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
192,8000-3002,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
194,8000-4002,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
196,8000-4004,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
199,8000-5002,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
201,8000-5003,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
203,8000-5004,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
206,8000-7001,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
208,8000-7002,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
210,8000-7003,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
214,8000-7004,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
410,3700-0008,27,LTDQTY,YES,Y,1,NO,"NO ACTION - Already set to visible"
411,3700-0009,27,LTDQTY,YES,Y,1,NO,"NO ACTION - Already set to visible"
485,8000-1001,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
486,8000-2002,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
487,8000-2007,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
488,8000-2013,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
517,8000-2001,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
518,8000-2003,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
519,8000-2004,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
520,8000-2005,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
521,8000-2008,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
522,8000-2010,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
523,8000-2012,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
524,8000-2014,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
525,8000-3001,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
526,8000-4001,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
527,8000-4003,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
528,8000-4005,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
529,8000-4006,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
530,8000-4007,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
531,8000-5001,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
532,8000-5006,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
533,8000-5007,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
575,6800-5292,170,LTDQTY,YES,Y,1,NO,"NO ACTION - Already set to visible"
632,7418-0000,194,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
658,2981-2773,206,LTDQTY,YES,Y,1,NO,"NO ACTION - Already set to visible"
