"Product ID","Product Name",Type,"Has Beauty Shot","Current Visible","Recommended Action","Action Reason"
27,"Como Linen PKL",R,YES,Y,"NO ACTION","Already configured correctly"
28,"Wimbledon Velvet - Updated",R,YES,Y,"NO ACTION","Already configured correctly"
37,"Rio Wool Satin",R,YES,Y,"NO ACTION","Already configured correctly"
169,Atlantis,R,YES,Y,"NO ACTION","Already configured correctly"
170,Leopard,R,YES,Y,"NO ACTION","Already configured correctly"
173,"Massimo Plaid",R,YES,Y,"NO ACTION","Already configured correctly"
183,"Linen Canvas Solid",R,YES,Y,"NO ACTION","Already configured correctly"
184,"Arabian Mosaic",R,YES,Y,"NO ACTION","Already configured correctly"
189,"Matelasse Ribbed",R,YES,Y,"NO ACTION","Already configured correctly"
190,"Matelasse Wave",R,YES,Y,"NO ACTION","Already configured correctly"
191,Raffia,R,YES,Y,"NO ACTION","Already configured correctly"
194,"Black Tie",R,YES,Y,"NO ACTION","Already configured correctly"
197,"Linen Squares",R,YES,Y,"NO ACTION","Already configured correctly"
206,"New World Paisley",R,YES,Y,"NO ACTION","Already configured correctly"
208,"Tracy Circles",R,YES,Y,"NO ACTION","Already configured correctly"
209,"Tracy Large Blotch Flower",R,YES,Y,"NO ACTION","Already configured correctly"
210,"Watercolor Lily",R,YES,Y,"NO ACTION","Already configured correctly"
211,"Linen Cellophane Boucle",R,YES,Y,"NO ACTION","Already configured correctly"
212,Lino,R,YES,Y,"NO ACTION","Already configured correctly"
213,"Modern Shimmer",R,YES,Y,"NO ACTION","Already configured correctly"
214,"Open Spaces Sheer",R,YES,Y,"NO ACTION","Already configured correctly"
216,"Sateen Weave Reversible",R,YES,Y,"NO ACTION","Already configured correctly"
222,"Double Weave Linen Sheer Vertical Stripe",R,YES,Y,"NO ACTION","Already configured correctly"
224,Gehry,R,YES,Y,"NO ACTION","Already configured correctly"
225,"Jordan Sheer",R,YES,Y,"NO ACTION","Already configured correctly"
226,"Justine Stripe",R,YES,Y,"NO ACTION","Already configured correctly"
227,"Linen Scrim Sheer",R,YES,Y,"NO ACTION","Already configured correctly"
230,"Antique Velvet",R,YES,Y,"NO ACTION","Already configured correctly"
232,"Linen Sheer Solid",R,YES,Y,"NO ACTION","Already configured correctly"
234,Flannelsuede,R,YES,Y,"NO ACTION","Already configured correctly"
235,"Linen Sheer Vertical Stripe Raffia",R,YES,Y,"NO ACTION","Already configured correctly"
236,Oz,R,YES,Y,"NO ACTION","Already configured correctly"
237,Polysheer,R,YES,Y,"NO ACTION","Already configured correctly"
239,Barcus,R,YES,Y,"NO ACTION","Already configured correctly"
241,Cortez,R,YES,Y,"NO ACTION","Already configured correctly"
244,"Linen Solid Basketweave",R,YES,Y,"NO ACTION","Already configured correctly"
245,"Linen Solid Check",R,YES,Y,"NO ACTION","Already configured correctly"
246,Magdalena,R,YES,Y,"NO ACTION","Already configured correctly"
249,"Native Rattan",R,YES,Y,"NO ACTION","Already configured correctly"
250,"Royal Jewels",R,YES,Y,"NO ACTION","Already configured correctly"
258,Mohair,R,YES,Y,"NO ACTION","Already configured correctly"
262,"Terry Cloth",R,YES,Y,"NO ACTION","Already configured correctly"
264,"Linen Sheer Metallic",R,YES,Y,"NO ACTION","Already configured correctly"
272,Castello,R,YES,Y,"NO ACTION","Already configured correctly"
273,Symphony,R,YES,Y,"NO ACTION","Already configured correctly"
274,Houndstooth,R,YES,Y,"NO ACTION","Already configured correctly"
277,Whisper,R,YES,Y,"NO ACTION","Already configured correctly"
283,"Dobby (reversible)",R,YES,Y,"NO ACTION","Already configured correctly"
297,"Waffle Chenille",R,YES,Y,"NO ACTION","Already configured correctly"
304,Cosmos,R,YES,Y,"NO ACTION","Already configured correctly"
312,Cassandra,R,YES,Y,"NO ACTION","Already configured correctly"
313,"Sultans Stripe",R,YES,Y,"NO ACTION","Already configured correctly"
314,"Crocodile Mile",R,YES,Y,"NO ACTION","Already configured correctly"
315,Mecate,R,YES,Y,"NO ACTION","Already configured correctly"
317,Morris,R,YES,Y,"NO ACTION","Already configured correctly"
319,"Lemon Leaves",R,YES,Y,"NO ACTION","Already configured correctly"
320,"Shimmer Chenille",R,YES,Y,"NO ACTION","Already configured correctly"
324,"Diamond Back",R,YES,Y,"NO ACTION","Already configured correctly"
325,Drevo,R,YES,Y,"NO ACTION","Already configured correctly"
327,Lumen,R,YES,Y,"NO ACTION","Already configured correctly"
328,"Metal Leaf",R,YES,Y,"NO ACTION","Already configured correctly"
331,Vagabond,R,YES,Y,"NO ACTION","Already configured correctly"
